date,review,label,score
2020-10-03,"It may look like a film and quack like a film, but something's just not right with the new Mulan[.]",NEGATIVE,0.9991053342819214
2020-10-02,"Mulan, as a character, is a wonderful role model for young girls and boys, too. She sticks to who she is and keeps her family values strong.",POSITIVE,0.9998540878295898
2020-10-02,"The 2020 Mulan adaptation suffers from the problem that also plagued 2019's Dumbo (based on the 1941 children's classic), an update that felt more like a mummification.",NEGATIVE,0.9996042847633362
2020-09-29,"This Mulan is more straightforward than subtle. There are battles to be fought, an emperor to aid and a girl embracing her power. I wanted something more challenging, artful, disruptive.",POSITIVE,0.9945637583732605
2020-09-28,"Cold, shallow and lackluster despite breathtaking cinematography and costume design.",NEGATIVE,0.9998056292533875
2020-09-25,"Liu pulls off all [her martial-arts] moves with vim and verve, and she conveys the essence of the story's defiantly disobedient rebel, too.",POSITIVE,0.9994160532951355
2020-09-22,Mulan is the best live-action film to come from Disney in a very long time.,POSITIVE,0.9998452067375183
2020-09-22,A live action mulan actually does lend itself to them doing some pretty great things but it's so similar to the animation with nothing that made the animation endearing [and] charming.,POSITIVE,0.5475726127624512
2020-09-22,"Disney got it right with Mulan...this version is respectful, borrowing from the Chinese auteurs...no silly songs or talking dragon...terrific...",POSITIVE,0.7099941372871399
2020-09-22,"Unlike some movies in the $100-million club, Mulan puts the money on the screen.",POSITIVE,0.9992801547050476
2020-09-20,"Although it's missing the charm and the magic of Disney's animated classic, its message of acceptance and empowerment is more vital than ever. [Full Review in Spanish]",POSITIVE,0.9997884631156921
2020-09-17,"The fight scenes were great, and it's entertaining...with some tone issues.",POSITIVE,0.9998804926872253
2020-09-17,"It's trying to have its cake and eat it too, didn't quite stick the landing. But I liked it, and it will require more viewings...",POSITIVE,0.9496064782142639
2020-09-17,"The live-action Mulan remake has many promising parts, but fails to bring them together in a satisfying way.",NEGATIVE,0.9995413422584534
2020-09-16,"Perhaps a smidgen more humour wouldn't have gone amiss, but this is imaginative, eye-popping cinema, winningly open to the riches of Chinese culture and stirring in its feminist engagement.",POSITIVE,0.9998526573181152
2020-09-15,"The film is drab, leaden and self-important. Stripped of songs, Mulan 2.0 lacks levity, spirit and is void of humour... Our heroine is difficult to warm to. She is presented as such a stolid ice maiden warrior there's no real vulnerability to her.",NEGATIVE,0.9997537732124329
2020-09-15,"The film is a visual masterpiece. Shot in New Zealand, it is full of rich colors and textures from start to finish. Every costume, set, and even prop is beautifully crafted, transporting viewers into a highly saturated version of sixth-century China.",POSITIVE,0.9998593330383301
2020-09-14,"No Mushu, no songs, no problem. It's an empowering action spectacle that, although it stumbles out of the gate, is held aloft by its progressive depiction of life in the barracks...",POSITIVE,0.9987495541572571
2020-09-13,"Like its heroine, this is a film that forges its own path and is content to be its own magnificent creation.",POSITIVE,0.9998394846916199
2020-09-13,"Mulan on Disney+ is not a musical and characters have been changed from the 1998 film, but it still honored the spirit of Ballad of Mulan as well as the animated feature.",POSITIVE,0.9997323751449585
2020-09-13,"Disney's transparent desire to capitalise on the Chinese market - with a faithfully unquestioning stance - explains the watered-down adaptation, which appeases more than it excites.",NEGATIVE,0.9887855648994446
2020-09-12,"""Mulan"" raises the bar in Disney sequels. This one is outstanding. The strong, gorgeous storyline for Mulan, the female character, sets a wonderful role model for all girls worldwide.",POSITIVE,0.9998871088027954
2020-09-12,The transformation of a lighthearted coming-of-age story into a darker battle epic generally fails to take the material in a compelling new direction while subtly streamlining cultural specifics for mainstream consumption.,NEGATIVE,0.9979774355888367
2020-09-11,The stunning natural vistas and jaw-dropping PG-13 action sequences make this a film every member of the family is likely to enjoy.,POSITIVE,0.9998583793640137
2020-09-11,"Acceptably inoffensive, if less than wholly engaging. At least Liu's strong, stately Mulan is a wonderful role model for girls who aren't much interested in conformity and adhering to expectations.",POSITIVE,0.9996456503868103
2020-09-11,"When the movie finds its groove and revels in the lush visuals and stirring heroics so widely associated with Mulan, all misgivings subside.",POSITIVE,0.8374056220054626
2020-09-11,"While the ending feels flat and the villains lack, Mulan's strong second act pulls it ahead of the rest of Disney remake pack. It's almost perfect, but feels a bit too ""MCU"" for me.",POSITIVE,0.9982743859291077
2020-09-11,"Director Niki Caro's modern update may take things in a different direction, but it makes Mulan a more empowering character. Thanks to her creative eye and Liu Yifei's star turn, Mulan is the best live-action Disney adaptation to date.",POSITIVE,0.9998597502708435
2020-09-11,Far from the most aesthetically bankrupt Disney movie of the last few years.,POSITIVE,0.9985970258712769
2020-09-11,"It's exactly what you'd imagine a Mouse House wu xia pic might be: turning up to the party as handsomely crafted as money can buy, but lacking the innate poetic grace and artistry of a King Hu or Zhang Yimou epic.",NEGATIVE,0.9993110299110413
2020-09-11,"A movie of impressive scale and clear visual command, an effort that, for my money, far surpasses its animated predecessor.",POSITIVE,0.9998400211334229
2020-09-11,"Mandy Walker's cinematography is strong enough to make you regret that this couldn't viably be released in cinemas, and the name Chinese cast is pretty good too, and yet, somehow, it doesn't quite work.",NEGATIVE,0.9648497104644775
2020-09-10,"While glorious to look at, the movie still feels slightly hollow. All the right pieces are there, but an emotional connection to the characters is lacking.",NEGATIVE,0.9984749555587769
2020-09-10,"Director Niki Caro expertly balances the drama, humour, adventure and action, creating a thrilling big-screen epic with potent emotional resonance and lots of female power.",POSITIVE,0.999882161617279
2020-09-10,"The whole film has a muscular visual flair, with sweeping camera movements and cast-of-thousands set pieces that make this Chinese legend feel truly epic.",POSITIVE,0.999879777431488
2020-09-10,"This Mulan may have been made for the big screen, but it is impressive anywhere.",POSITIVE,0.9995853304862976
2020-09-10,"The best scenes, as they should be, are between Mulan and her fellow war hero father, played by Tzi Ma of The Farewell. Their relationship provides the beating heart of this gritty fairy tale.",POSITIVE,0.9998382925987244
2020-09-10,"The movie itself feels like an anticlimax: Mulan is merely a serviceable film that's rather easy to forget. It does not live up to the expectations placed on it, nor does it make a compelling argument against its earliest critics.",NEGATIVE,0.9985898733139038
2020-09-10,Mulan certainly enriches Disney's cultural canon.,POSITIVE,0.9998062252998352
2020-09-10,"A homage to family, feminism, honor, leadership & the joy of being true to yourself. With tributes to Kurosawa, the samurai, martial arts and the mystery of China. Wonderful.",POSITIVE,0.9998863339424133
2020-09-10,"While it's not a bad film, Disney should've stuck to their word and done a telling of the original story, which this was not.",NEGATIVE,0.9750394821166992
2020-09-09,I think [Yifei Liu] did a really great job as Mulan.,POSITIVE,0.9986273646354675
2020-09-09,Overall it was a lot of fun.,POSITIVE,0.9998528361320496
2020-09-09,"Popcorn cinema at best, nothing more. [Full review in Spanish]",NEGATIVE,0.5711440443992615
2020-09-09,"Draws a lot from [China's] culture, without respecting and honoring it properly. [Full review in Spanish]",NEGATIVE,0.8920971751213074
2020-09-09,"By now we've seen too many authentic, dynamic Chinese action movies, especially Zhang Yimou's recent Shadow and The Great Wall, to accept this dross.",NEGATIVE,0.9937284588813782
2020-09-09,"A live-action remake as flat as the surface of a wooden sword, which is immediately weighed down by a dull and predictable narrative that quickly affects the parable about identity, gender equality and female empowerment. [Full review in Spanish]",NEGATIVE,0.9996898770332336
2020-09-09,"With Mulan, Disney shoots for more than a shot-for-shot remake of the past. The result is a little clunky at times, but compelling enough to justify its existence.",POSITIVE,0.9984918832778931
2020-09-08,"Instead of a normal girl, this Mulan is an infallible human weapon at the service of the Chinese empire. [Full Review in Spanish]",POSITIVE,0.9936346411705017
2020-09-08,So instead of doing a play by play remake of the animated film they tossed out the songs and the Eddie Murphy type comedy. Good for them for sticking with an epic adventure movie that promotes girl power.,POSITIVE,0.9909563064575195
